User_ID,Cust_name,Product_ID,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount,Status
100000,Emir Rege,P2246,Female,18-25,43,Married,Tamil Nadu,South,Teacher,Clothing,2,1386.44,Pending
100001,Aaryahi Chaudhry,P4384,Male,36-45,50,Divorced,Maharashtra,North,Doctor,Electronics,2,4048.97,Cancelled
100002,Vivaan Tailor,P8568,Female,36-45,31,Married,Gujarat,North,Business,Furniture,9,2632.27,Delivered
100003,Shalv Wadhwa,P6546,Female,26-35,50,Divorced,Maharashtra,West,Doctor,Furniture,9,4579.41,Cancelled
100004,Kiaan Madan,P5213,Other,18-25,48,Divorced,Karnataka,Central,Engineer,Books,9,1376.97,Cancelled
100005,Vritika Mallick,P6031,Male,56+,21,Single,Karnataka,South,Doctor,Books,3,4399.85,Cancelled
100006,Diya D’Alia,P9285,Male,18-25,54,Single,Gujarat,North,Business,Clothing,8,4782.59,Cancelled
100007,Bhavin Taneja,P7047,Male,18-25,52,Single,Karnataka,South,Teacher,Books,4,725.12,Delivered
100008,Lavanya Sabharwal,P8893,Male,26-35,20,Single,Maharashtra,South,Engineer,Clothing,8,517.44,Cancelled
100009,Rohan Sandhu,P1971,Female,26-35,18,Single,Gujarat,Central,Business,Books,4,542.87,Cancelled
100010,Kabir Keer,P4042,Male,36-45,24,Single,Karnataka,West,Teacher,Books,4,1237.62,Delivered
100011,Charvi Bhalla,P6528,Male,18-25,23,Single,Gujarat,East,Engineer,Furniture,7,1745.71,Cancelled
100012,Baiju Ramaswamy,P5686,Other,18-25,61,Married,Tamil Nadu,West,Teacher,Furniture,3,2214.51,Delivered
100013,Shamik Dara,P1601,Other,18-25,37,Married,Tamil Nadu,Central,Student,Clothing,9,1845.64,Cancelled
100014,Shamik Srinivasan,P8823,Female,18-25,53,Divorced,Gujarat,North,Doctor,Books,8,2550.55,Delivered
100015,Seher Balan,P3632,Female,56+,30,Single,Karnataka,East,Teacher,Electronics,4,2711.63,Delivered
100016,Piya Chand,P7476,Other,36-45,61,Divorced,Maharashtra,North,Business,Furniture,7,1674.57,Pending
100017,Diya Bhardwaj,P6932,Male,26-35,49,Divorced,Delhi,South,Business,Electronics,3,1074.46,Cancelled
100018,Jayant Swaminathan,P9806,Female,18-25,39,Single,Gujarat,East,Doctor,Groceries,3,3474.17,Cancelled
100019,Myra Baral,P8215,Female,26-35,40,Divorced,Gujarat,South,Doctor,Groceries,3,3867.08,Delivered
100020,Adah Varty,P6900,Male,56+,44,Divorced,Tamil Nadu,South,Engineer,Clothing,3,2574.42,Delivered
100021,Ojas Bir,P9099,Female,18-25,35,Single,Delhi,South,Engineer,Electronics,2,980.09,Pending
100022,Aaryahi Upadhyay,P6359,Other,36-45,21,Single,Gujarat,West,Teacher,Furniture,5,2672.36,Pending
100023,Zeeshan Baria,P3816,Other,36-45,22,Divorced,Delhi,East,Engineer,Clothing,3,2990.27,Pending
100024,Lakshay Bhargava,P9488,Female,36-45,53,Single,Gujarat,North,Engineer,Books,9,3861.49,Delivered
100025,Nirvi Sachar,P2862,Male,46-55,52,Single,Maharashtra,North,Engineer,Electronics,1,176.95,Delivered
100026,Kismat Maharaj,P4196,Female,56+,49,Married,Delhi,South,Engineer,Books,9,330.67,Delivered
100027,Kashvi Bhandari,P4613,Female,46-55,62,Divorced,Tamil Nadu,South,Student,Groceries,4,4868.2,Pending
100028,Vihaan Chahal,P8926,Male,18-25,64,Married,Tamil Nadu,Central,Teacher,Electronics,1,4431.1,Delivered
100029,Vritika Rastogi,P5343,Male,46-55,27,Single,Maharashtra,North,Engineer,Furniture,2,490.32,Delivered
100030,Nakul Tata,P5699,Other,46-55,58,Divorced,Gujarat,East,Engineer,Clothing,2,186.57,Pending
100031,Dhruv Madan,P3641,Male,56+,26,Married,Maharashtra,East,Student,Groceries,9,2074.78,Cancelled
100032,Kanav Sachar,P6730,Other,46-55,62,Married,Karnataka,West,Teacher,Books,4,771.4,Cancelled
100033,Mahika Savant,P8992,Female,56+,43,Married,Karnataka,Central,Engineer,Groceries,6,3161.51,Pending
100034,Sara Devi,P2248,Male,46-55,31,Single,Gujarat,South,Business,Electronics,3,1425.69,Pending
100035,Eva Sachar,P6647,Male,26-35,43,Single,Maharashtra,East,Engineer,Furniture,5,600.27,Delivered
100036,Dhruv Tata,P4623,Other,36-45,27,Single,Tamil Nadu,Central,Engineer,Clothing,5,1716.67,Cancelled
100037,Nakul Ratta,P1037,Other,46-55,28,Divorced,Tamil Nadu,North,Teacher,Groceries,2,441.12,Pending
100038,Oorja Apte,P5607,Male,46-55,62,Married,Maharashtra,West,Doctor,Books,6,1746.14,Cancelled
100039,Shlok Khatri,P5973,Other,46-55,51,Married,Delhi,South,Business,Furniture,5,3425.8,Cancelled
100040,Abram Mammen,P4231,Female,26-35,29,Single,Gujarat,Central,Teacher,Groceries,3,1076.96,Delivered
100041,Raunak Thakur,P6005,Female,36-45,22,Single,Delhi,South,Student,Groceries,8,3280.84,Cancelled
100042,Elakshi Ratti,P8223,Female,36-45,53,Divorced,Maharashtra,West,Engineer,Furniture,2,1501.31,Cancelled
100043,Kismat Magar,P3969,Male,18-25,49,Married,Gujarat,West,Business,Furniture,5,1093.12,Pending
100044,Rania Basu,P3704,Other,26-35,41,Divorced,Tamil Nadu,East,Engineer,Electronics,9,1328.97,Cancelled
100045,Misha Ramanathan,P4455,Other,26-35,24,Single,Delhi,Central,Student,Furniture,1,3187.79,Cancelled
100046,Rati Bava,P5524,Male,18-25,57,Divorced,Maharashtra,East,Engineer,Groceries,5,4199.96,Delivered
100047,Mehul Kale,P4630,Male,46-55,36,Divorced,Gujarat,North,Doctor,Groceries,1,1001.45,Pending
100048,Seher Borde,P9726,Male,18-25,39,Single,Maharashtra,South,Business,Groceries,7,3809.65,Cancelled
100049,Keya Tata,P4230,Male,56+,20,Single,Tamil Nadu,North,Teacher,Clothing,6,4192.47,Cancelled
